750_0001,,1000_0001,,1250_0001,,750_0001b,,1000_0001b,,1250_0001b,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1.4902673806808758e-8,9605706277891301000,1.101968219802152e-8,10899240990639366000,9.466421705613713e-9,10567093019742906000,6.961378588602745e-9,5212793314404766000,7.161525421679511e-9,4818010414979434000,7.575884268564495e-9,5056298850945788000
1.5073412675790716e-8,9705513143406311000,1.137357365045417e-8,11040920072395338000,9.812883797926216e-9,10681171126872932000,6.987885184997587e-9,4979353063877597000,7.358153793032944e-9,5014329085074096000,7.556905374047007e-9,4853948532182555000
1.5241968441389413e-8,9530903913645242000,1.1452601594551737e-8,11310939542011296000,9.697553792551317e-9,10425568761592832000,7.211093587064946e-9,5984811503789519000,7.3325635292284816e-9,4566366967442010000,7.575391665678676e-9,4385544002940735500
1.5412335361856012e-8,9583956850779419000,1.1511401970349094e-8,11581457124566825000,1.0125589454986762e-8,10824479115935154000,7.227009677528481e-9,4893283784842686000,7.429088608590732e-9,5304176623089402000,7.634859780727704e-9,4642665681089821000
1.558316152983764e-8,9694737200552760000,1.1742301007016771e-8,11105466033693626000,1.0094689379453415e-8,10500684448979570000,7.3439937406345916e-9,5810842409069930000,7.547566444336709e-9,4840513244585652000,7.913755114581656e-9,5259513961441903000
1.576811743751368e-8,9801453416120222000,1.1831158891986967e-8,11593867691688516000,1.0245311561602622e-8,10208030676169597000,7.315338392207264e-9,5561339412294144000,7.555413881976057e-9,4426358280561742000,7.895386500306043e-9,4954636562043752000
1.5912510504648917e-8,9793903334330530000,1.195483773120766e-8,11373056402419175000,1.017602392365848e-8,10043402172797684000,7.188424732041654e-9,5046052710920776000,7.67262600197375e-9,5079549707156398000,7.91845126209312e-9,4470561179515810000
1.609485341798285e-8,9928200643853640000,1.2132749843866303e-8,11052126204990132000,1.0465544066685105e-8,10832635875382653000,7.426208250050047e-9,5448996398154492000,7.756383493638344e-9,4571509498309267500,7.953466661112901e-9,4691422420055005000
1.626528032020136e-8,9988793287203070000,1.2227583376783383e-8,11579597844391350000,1.0484277722998595e-8,10517197853298393000,7.572508570455292e-9,6030312685015986000,7.867879760413169e-9,4828642427265006000,8.218113570523013e-9,5328442788581335000
1.6448869013854883e-8,9923650700140483000,1.2461392094335968e-8,11117231624835820000,1.0603193117141627e-8,10333397379836088000,7.68069364121175e-9,5683317860510736000,7.921806092996744e-9,5263271426787615000,8.23382612021081e-9,5062297659421975000
