t(s),Total solute volume 1,Total 1 volume 1,Total 2 volume 1,Total retention volume 1
1281.5041853439998,8.707869287691932e+17,9.131189990768692e+20,4.2511054646114134e+21,5.165095250617051e+21
1296.5041853439998,7.744438955941089e+17,7.674269766750102e+20,4.1741099125684463e+21,4.94231133313906e+21
1311.5041853439998,6.880879594871899e+17,6.438083274515426e+20,4.0851947483862417e+21,4.72969116379727e+21
1326.5041853439998,6.131318303842065e+17,5.4126001216052796e+20,3.98471615007055e+21,4.526589294061456e+21
1341.5041853439998,5.4983220843167814e+17,4.576891893032259e+20,3.8738229512237933e+21,4.332061972735455e+21
1356.5041853439998,4.9742328614483117e+17,3.903019156215446e+20,3.754219063912271e+21,4.145018402819955e+21
1371.5041853439998,4.544802213382558e+17,3.36101698327975e+20,3.6277907798220976e+21,3.9643469583714086e+21
1386.5041853439998,4.19332086558638e+17,2.9230344856797676e+20,3.4962802391460573e+21,3.789003019800593e+21
1401.5041853439998,3.903687645168671e+17,2.5655777963143958e+20,3.36111164855348e+21,3.618059796949436e+21
1416.5041853439998,3.661974482310176e+17,2.2700274095542347e+20,3.2233621076970706e+21,3.450731046100724e+21
1431.5041853439998,3.456847605995257e+17,2.0221551776435565e+20,3.083814543402151e+21,3.286375745927106e+21
1446.5041853439998,3.2793815471279494e+17,1.8112832150906726e+20,2.9430365407685315e+21,3.12449280043231e+21
1461.5041853439998,3.122653417540075e+17,1.629444659780527e+20,2.801454432611522e+21,2.96471116393133e+21
1476.5041853439998,2.98131849495732e+17,1.4706847323238154e+20,2.6594119526867046e+21,2.806778557768578e+21
1491.5041853439998,2.851245480360545e+17,1.3305247952173067e+20,2.5172128177000824e+21,2.6505504217698486e+21
1506.5041853439998,2.7292288390522662e+17,1.2055675317543379e+20,2.3751501323205974e+21,2.4959798083799357e+21
1521.5041853439998,2.6127714146040832e+17,1.0932112691461603e+20,2.2335259959183884e+21,2.3431083999744617e+21
1536.5041853439998,2.499923740230989e+17,9.914444379508231e+19,2.0926641172868403e+21,2.192058553455946e+21
1551.5041853439998,2.3891666626950006e+17,8.986974730657695e+19,1.952917479122117e+21,2.043026143094963e+21
1566.5041853439998,2.2793262347796048e+17,8.137355074306174e+19,1.814672432493441e+21,1.8962739158599803e+21
1581.5041853439998,2.1695124103392182e+17,7.355800025095342e+19,1.678350103195072e+21,1.7521250546870604e+21
1596.5041853439998,2.0590752599852307e+17,6.634509752480766e+19,1.544405638482221e+21,1.6109566435330289e+21
1611.5041853439998,1.9475740933158336e+17,5.9672396770098455e+19,1.413325579406857e+21,1.4731927335862872e+21
1626.5041853439998,1.834756075997847e+17,5.3489763444986544e+19,1.2856234800004106e+21,1.3392967190529956e+21
1641.5041853439998,1.7205417578590714e+17,4.7756901671058555e+19,1.1618337880667725e+21,1.2097627439136186e+21
1656.5041853439998,1.6050154661585162e+17,4.244143949506014e+19,1.042503940176394e+21,1.0851058812180692e+21
1671.5041853439998,1.488418833351654e+17,3.751741798663553e+19,9.281845995475399e+20,9.658508594175094e+20
1686.5041853439998,1.3711458717457877e+17,3.2964069520864035e+19,8.194179794119823e+20,8.525191635200201e+20
1701.5041853439998,1.2537380192965315e+17,2.8764798125369164e+19,7.167242499392618e+20,7.4561442186656e+20
1716.5041853439998,1.1368775004446626e+17,2.4906294469053383e+19,6.205861303048557e+20,6.456061125239525e+20
1731.5041853439998,1.021377219587065e+17,2.137773292292217e+19,5.3143192622162595e+20,5.5291179686650695e+20
1746.5041853439998,9.08165295381589e+16,1.8170010517110286e+19,4.4961749212472803e+20,4.6787831917137586e+20
1761.5041853439998,7.982623391441107e+16,1.5274999563804264e+19,3.754078744377471e+20,3.9076270023546575e+20
1776.5041853439998,6.927497955935054e+16,1.268479891147508e+19,3.089597135747591e+20,3.217137874657932e+20
1791.5041853439998,5.927282351281797e+16,1.0390984487241523e+19,2.5030581375394064e+20,2.607560710646948e+20
1806.5041853439998,4.9926554420084504e+16,8.383878407997318e+18,1.993435723021446e+20,2.077773772645618e+20
1821.5041853439998,4.133365779668652e+16,6.651876588534921e+18,1.558291084925982e+20,1.6252231873892984e+20
1836.5041853439998,3.357579583486624e+16,5.180894636025432e+18,1.1937884269703931e+20,1.2459331312889943e+20
1851.5041853439998,2.671240466501518e+16,3.95400594740911e+18,8.94798513673272e+19,9.346056971940132e+19
1866.5041853439998,2.0775215541321784e+16,2.9513478096412365e+18,6.550950725875418e+19,6.848163028393671e+19
1881.5041853439998,1.5764603797552684e+16,2.1503546828642964e+18,4.6763742776549835e+19,4.892986206321172e+19
1896.5041853439998,1.1648583940563874e+16,1.5263397195083254e+18,3.249190891076035e+19,3.4029897214209176e+19
1911.5041853439998,8364956545936927.0,1.0533894384820466e+18,2.19349289536549e+19,2.299668334868287e+19
1926.5041853439998,5826596688492654.0,7.054739674953568e+17,1.4362615331055389e+19,1.5073915895239225e+19
1941.5041853439998,3929263817696813.0,4.57624220069244e+17,9.105928887084879e+18,9.56748237097182e+18
1956.5041853439998,2560782153733351.0,2.870058123534827e+17,5.580731873590911e+18,5.870298468098122e+18
1971.5041853439998,1610163245684587.0,1.7373771677747734e+17,3.3010778466480686e+18,3.476425726671231e+18
1986.5041853439998,975317694175733.4,1.0135839772635197e+17,1.8819166962336008e+18,1.9842504116541274e+18
2001.5041853439998,568406275831403.9,5.691707387994227e+16,1.0327877288665528e+18,1.0902732090223256e+18
2016.5041853439998,318471152135950.9,3.0739854416610228e+16,5.452161737041326e+17,5.762744992728786e+17
2031.5041853439998,171572217533836.97,1.5969888983769194e+16,2.769185641230431e+17,2.930600253243461e+17
2046.5041853439998,89067979880073.73,7997831455865740.0,1.3561231546808152e+17,1.436992149038272e+17
2061.504185344,44847525890953.65,3886463659299698.0,6.445495699961503e+16,6.838626818480563e+16
2076.504185344,22259481856155.56,1862360330137736.2,3.021623837995747e+16,3.2100858191951348e+16
2091.504185344,11279493976362.13,911454962579116.4,1.4470629037367096e+16,1.5393363493922566e+16
2106.504185344,6210172395735.432,484850627255335.7,7534174009068951.0,8025234808720013.0
