t(s),Flux surface 1: solute,Flux surface 1: solute,Total solute volume 1,Total 2 volume 1,Total 3 volume 1,Total retention volume 1
92.6082673614624,-2.3748269859565265e+19,-2.3748269859565265e+19,300276808740748.6,1.1192733065939507e+19,1.313367627027143e+18,4.867504585906151e+19
96.6784048308044,-2.375381235548621e+19,-2.375381235548621e+19,306911147524248.4,1.1436379651535e+19,1.370682487818237e+18,4.976248883853802e+19
101.1555560470806,-2.3759414344120947e+19,-2.3759414344120947e+19,313920386964091.94,1.169887047388119e+19,1.4336509391488998e+18,5.093359507304751e+19
105.2256935164226,-2.3764412423620612e+19,-2.3764412423620612e+19,320445625394047.4,1.1932155406657309e+19,1.4908307088943933e+18,5.197789416276923e+19
109.7028447326988,-2.376944837544239e+19,-2.376944837544239e+19,327291930945026.7,1.2183691605062689e+19,1.55365077065347e+18,5.310407635509703e+19
114.6277110706026,-2.3774548180793917e+19,-2.3774548180793917e+19,334528645648370.2,1.2454905637834437e+19,1.622658989448153e+18,5.4317760800551846e+19
119.1048622868788,-2.37791090828466e+19,-2.37791090828466e+19,341273583866807.06,1.2696023029790837e+19,1.6853162970039565e+18,5.540069036553263e+19
124.0297286247826,-2.3783711661110526e+19,-2.3783711661110526e+19,348352077599082.94,1.2956190174439686e+19,1.7541457631181673e+18,5.656924570134639e+19
128.5068798410588,-2.378779586338102e+19,-2.378779586338102e+19,354881694501038.3,1.3187958835605223e+19,1.8166407933105626e+18,5.761328306095839e+19
133.4317461789626,-2.3791915335915975e+19,-2.3791915335915975e+19,361712891153711.7,1.3438533130338253e+19,1.8852920298477942e+18,5.87414362033003e+19
138.8490991506568,-2.379610545609885e+19,-2.379610545609885e+19,368936286197934.75,1.3709375233914423e+19,1.9606956964170706e+18,5.995970517759253e+19
143.7739654885606,-2.3799869820734755e+19,-2.3799869820734755e+19,375674619361864.06,1.395056531526221e+19,2.0291515050241585e+18,6.104868333771327e+19
149.1913184602548,-2.380369232540473e+19,-2.380369232540473e+19,382763216427380.9,1.4211308128575949e+19,2.1043405649435075e+18,6.222585133749425e+19
154.1161847981586,-2.3807099529406046e+19,-2.3807099529406046e+19,389310061623954.9,1.4443917249816676e+19,2.1726015738993516e+18,6.327922394440612e+19
159.53353776985279,-2.3810555020868735e+19,-2.3810555020868735e+19,396173746756890.56,1.4695828241594008e+19,2.2475767159964836e+18,6.441921407664125e+19
165.4926260387164,-2.381408660884919e+19,-2.381408660884919e+19,403442690339632.7,1.4968589514462792e+19,2.3299141459164764e+18,6.5652158034770936e+19
170.90997901041058,-2.381727123207442e+19,-2.381727123207442e+19,410229857329406.25,1.5211765339598815e+19,2.4046547966746634e+18,6.675576383621897e+19
176.8690672792742,-2.3820520611417997e+19,-2.3820520611417997e+19,417382910957247.1,1.547504652920117e+19,2.4867347647353375e+18,6.795036673897037e+19
